Age,AGB,Age round,Series,Age
13.3273,291.499,1.30E+01,12,1.10E+01
14.259,297.2115,1.40E+01,12,1.20E+01
15.3237,299.726,1.50E+01,12,1.30E+01
16.362,307.302,1.60E+01,12,1.40E+01
17.7727,300.2122,1.80E+01,12,1.60E+01
18.2786,308.1431,1.80E+01,12,1.60E+01
19.104,319.3618,1.90E+01,12,1.70E+01
19.7963,325.4873,2.00E+01,12,1.80E+01
20.7548,336.2718,2.10E+01,12,1.90E+01
21.6068,345.1927,2.20E+01,12,2.00E+01
22.5918,351.8369,2.30E+01,12,2.10E+01
23.417,354.3038,2.30E+01,12,2.10E+01
24.2157,357.2261,2.40E+01,12,2.20E+01
25.4668,362.5413,2.50E+01,12,2.30E+01
26.6381,368.3012,2.70E+01,12,2.50E+01
27.4369,374.4478,2.70E+01,12,2.50E+01
27.4901,373.9978,2.70E+01,12,2.50E+01
28.2089,378.7467,2.80E+01,12,2.60E+01
28.9542,378.8946,2.90E+01,12,2.70E+01
0.0177,263.5226,0.00E+00,13,-2.00E+00
1.1355,257.7565,1.00E+00,13,-1.00E+00
2.2534,257.9785,2.00E+00,13,0.00E+00
3.4243,250.3805,3.00E+00,13,1.00E+00
4.4089,238.1393,4.00E+00,13,2.00E+00
5.2608,243.3752,5.00E+00,13,3.00E+00
6.6717,248.2615,7.00E+00,13,5.00E+00
8.1359,256.8433,8.00E+00,13,6.00E+00
9.3073,263.9851,9.00E+00,13,7.00E+00
9.9196,267.7917,1.00E+01,13,8.00E+00
10.3721,272.0271,1.00E+01,13,8.00E+00
10.8247,274.42,1.10E+01,13,9.00E+00
11.4371,278.6871,1.10E+01,13,9.00E+00
12.4221,285.3313,1.20E+01,13,1.00E+01
13.3007,291.9544,1.30E+01,13,1.10E+01
14.2058,298.1222,1.40E+01,13,1.20E+01
15.2706,298.7942,1.50E+01,13,1.30E+01
16.4154,308.6944,1.60E+01,13,1.40E+01
17.6928,300.1963,1.80E+01,13,1.60E+01
18.2786,307.6825,1.80E+01,13,1.60E+01
19.0772,310.1441,1.90E+01,13,1.70E+01
19.9554,304.3305,2.00E+01,13,1.80E+01
20.914,318.3393,2.10E+01,13,1.90E+01
21.8193,327.7314,2.20E+01,13,2.00E+01
22.5647,331.5643,2.30E+01,13,2.10E+01
23.4165,332.1941,2.30E+01,13,2.10E+01
24.428,336.0798,2.40E+01,13,2.20E+01
25.4127,327.9842,2.50E+01,13,2.30E+01
26.717,334.2312,2.70E+01,13,2.50E+01
27.5158,340.3778,2.80E+01,13,2.60E+01
28.208,345.5819,2.80E+01,13,2.60E+01
28.9268,349.8702,2.90E+01,13,2.70E+01
